Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,Colombia,Female,41-50,0,3,Clinton,0,1,2,6,4,NA,NA,NA,NA,NA,NA,6
EN,NA,Female,25-30,0,4,Did Not Vote,0,1.7,7,7,7,NA,NA,NA,NA,NA,NA,4.2
EN,NA,Female,18-24,1,3,Did Not Vote,0,5.5,2.4,5.4,2.8,5,2.9,5,3.2,5.4,3.2,5.4
EN,NA,Female,31-40,1,3,Clinton,0,2,3,6,2.2,5.8,2.8,5.2,2.7,3.2,5.3,5.4
EN,NA,Female,18-24,1,3,Clinton,0,7,7,7,7,7,7,7,7,7,7,6.1
EN,NA,Female,31-40,1,5,Did Not Vote,NA,1,4.7,4.4,5.6,1.1,1,1,1,4.7,1,4.1
EN,USA,Male,51-60,1,5,Other,1,1,5,5,3,5,5,2,6,1.4,1.4,3
EN,Cuba,Female,51-60,0,5,Clinton,0,1,1,7,7,NA,NA,NA,NA,NA,NA,7
ES,Mexico,Male,25-30,1,3,Trump,0,5.9,6.8,6.1,6.9,6.3,6.8,5.4,6.4,5.7,6.6,6.3
EN,Mexico,Female,25-30,1,4,Clinton,0,7,7,7,6.2,7,7,6.2,7,7,6.5,7
